GENSETID,STATIONID
AMCORGR1,AMCORGR
AMCORGR2,AMCORGR
AMCORGR3,AMCORGR
APS1,APS
ARWF1_1,ARWF
BALDHWF2,BHWF
BANKSPT2,BANKSPT
BARCSF2,BARCSF
BBASEH_1,BBASEHOS
BBASEH_2,BBASEHOS
BBASEH_3,BBASEHOS
BLUFF,BLUFF
BOGONG1,MCKAY
BOGONG2,MCKAY
BOLIVAR2,BOLIVAR
BRAEMG5,B2PS
BRAEMG6,B2PS
BRAEMG7,B2PS
BROKENH2,BROKENH
BURRIN1,BURRIN
BURRIN2,BURRIN
BURRIN3,BURRIN
CBWF,CBWF
CPSA1,CPSA
CPSA2,CPSA
CPSA3,CPSA
CULLRG01,CULLERIN
DAANDIN2,DAANDINE
DDPS0,DDPS1
DDPS2,DDPS1
DDPS3,DDPS1
DRYCNL1,DRYCGT
DRYCNL2,DRYCGT
ENERGYB1,ENERGYB
ENERGYB2,ENERGYB
ENERGYB3,ENERGYB
ENERGYB4,ENERGYB
ENERGYB5,ENERGYB
GEORGTN11,GEORGTWN
GEOGRTN21,GEORGTWN
HUGSF2,HUGSF
HUMENSW1,HUMENSW
HUMEV1,HUMEV
JACKSGUL2,JACKSGUL
LKBONNEY2A,LKBONNY_2
LKBONNEY2B,LKBONNY_2
LKBONY3_1,LKBONNY3
LONGFORD,LONGFORD
LONSDAL1,LONSDALE
LONSDAL2,LONSDALE
MCKAY3,MCKAY
MEADOWB21,MEADOWBK
OAKY2_1,OAKY2
OCPS,OCPS
PIONEER1,PIONEER
PIONEER2,PIONEER
PORTLAT2,PORTLATT
PPGT11,NPPPPS
PPGT12,NPPPPS
PPST18,NPPPPS
PTINA110,PTINA110
PTINA220,PTINA220
QUERIVE2,QUERIVER
QUERIVE3,QUERIVER
SAPHWF2,SAPHWF1
SH01,SHOALHAV
SH02,SHOALHAV
SH03,SHOALHAV
SH04,SHOALHAV
SHP01,SHOALHAV
SHP02,SHOALHAV
SHP03,SHOALHAV
SHP04,SHOALHAV
SITHE02,SITHE
SITHE03,SITHE
SITHE04,SITHE
SNUG5,SNUG
SNUG6,SNUG
SYMEX1_1,SYMEX
TALLA1,TALLAWAR
TVCC_GT1,TVCCPS
TVCC_ST1,TVCCPS
WAUBWF01,WAUBRAWF
WAUBWF02,WAUBRAWF
WESTILL2,WESTILLA
WILGAPK1,WILGAPK
WWNL2,WW
YAMBUK,YAMBUK
YARWN1_1,YARWUN
ROCKY-GT,RPCG
SNWYGJP1,SNWYGJP2
DAYDSF2,DAYDSF
MANSLR2,MANSLR
SMCSF2,SMCSF
MTGELWF2,MTGELWF
YAWWF,YAWWF
GANNSF2,GANNSF
GANNSFL1,GANNBESS
BANN2,BANNSP
LGAPWF1,LGAPWF1
NUMURSF2,NUMURKSF
COOPGWF2,COOPGWF
